FILE,UNIT_NAME,ROOM_NAME,NAME,SECTION_NAME,PHASE,PHOTO_URL,STATUS,DESCRIPTION,HIGHLIGHT_LEFT,HIGHLIGHT_WIDTH,HIGHLIGHT_TOP,HIGHLIGHT_HEIGHT
15,Second Floor-Civil,Cracks/Damages,Damages/Cracks,Damages/Cracks,snagging,https://firebasestorage.googleapis.com/v0/b/nemmadi-console.appspot.com/o/1537339300994%2Fbig?alt=media&token=16f5b04d-da89-4585-91e7-d736f8d5b628,,Dado tile damaged at staircase entry.,0.456348228,0.353512001,0.292133644,0.494021056
16,Second Floor-Civil,Cracks/Damages,Damages/Cracks,Damages/Cracks,snagging,https://firebasestorage.googleapis.com/v0/b/nemmadi-console.appspot.com/o/1537339310685%2Fbig?alt=media&token=cdf511e3-60a6-4ddc-845e-68aa3187442e,,Partition board to be removed. Wall - 3.,0.445950794,0.384704304,0.253922134,0.633220235
17,Second Floor-Civil,Cracks/Damages,Damages/Cracks,Damages/Cracks,snagging,https://firebasestorage.googleapis.com/v0/b/nemmadi-console.appspot.com/o/1537339306073%2Fbig?alt=media&token=5abd5e41-4f61-46a8-827a-f417778a85e0,,Column damaged. Column - 1.,0.383566332,0.363909483,0.256651581,0.743348419
18,Third Floor-Civil,Cracks/Damages,Damages/Cracks,Damages/Cracks,snagging,https://firebasestorage.googleapis.com/v0/b/nemmadi-console.appspot.com/o/1537275888479%2Fbig?alt=media&token=17ac9457-91d8-4281-86a0-aac1da2409c3,,"Crack on wall in lift area. Wall - 2.
",0.323261333,0.486598897,0.182957759,0.669815939
19,Third Floor-Civil,Cracks/Damages,Damages/Cracks,Damages/Cracks,snagging,https://firebasestorage.googleapis.com/v0/b/nemmadi-console.appspot.com/o/1537275900014%2Fbig?alt=media&token=2211425d-a0d8-42a7-9109-7f8cf1e0461f,,"Crack observed in wall at service lift room
above door.
",0.327420306,0.544824433,0.210251855,0.66597285
20,Third Floor-Civil,Cracks/Damages,Damages/Cracks,Damages/Cracks,snagging,https://firebasestorage.googleapis.com/v0/b/nemmadi-console.appspot.com/o/1537275894370%2Fbig?alt=media&token=37cef360-4b54-4465-b3f1-8c6455f89b4b,,"Beam edges are broken at entrance of
passenger lift.",0.16937964,0.430452895,0.188416528,0.679619961
21,Terrace-Civil,Cracks/Damages,Damages/Cracks,Damages/Cracks,snagging,https://firebasestorage.googleapis.com/v0/b/nemmadi-console.appspot.com/o/1536737942218%2Fbig?alt=media&token=e56a8800-41b0-47e2-94bf-d3f455db3f22,,Water stagnant at the base of Cooling tower.,0.093546879,0.895631206,0.345851961,0.46279507
22,Terrace-Civil,Cracks/Damages,Damages/Cracks,Damages/Cracks,snagging,https://firebasestorage.googleapis.com/v0/b/nemmadi-console.appspot.com/o/1537346681760%2Fbig?alt=media&token=2a5c8423-0631-4068-a704-41a836a1da54,,Staircase totally  rusted due to lack of maintenance; has to be replaced.,0.225,0.59375,0.245901639,0.754098361
23,Terrace-Civil,Cracks/Damages,Damages/Cracks,Damages/Cracks,snagging,https://firebasestorage.googleapis.com/v0/b/nemmadi-console.appspot.com/o/1537346895496%2Fbig?alt=media&token=da3d6f24-165a-48c8-8b00-2734f429f92c,,Cooling tower header pipe damaged.,0.00625,0.9875,0.020491803,0.696721311
24,Terrace-Civil,Cracks/Damages,Damages/Cracks,Damages/Cracks,snagging,https://firebasestorage.googleapis.com/v0/b/nemmadi-console.appspot.com/o/1537346963946%2Fbig?alt=media&token=c9899bf0-9623-4763-ad2e-ee8005313543,,Cooling pumps pedestal damaged.,0.04375,0.95,0.471311475,0.487704918
25,Above Terrace-Civil,Cracks/Damages,Damages/Cracks,Damages/Cracks,snagging,https://firebasestorage.googleapis.com/v0/b/nemmadi-console.appspot.com/o/1536924864290%2Fbig?alt=media&token=6a34274f-2a9a-44ee-9131-5edac3fe679d,,Floor tiles damaged at some places.,0.155946875,0.844053125,0.241675705,0.621852437
26,Above Terrace-Civil,Cracks/Damages,Damages/Cracks,Damages/Cracks,snagging,https://firebasestorage.googleapis.com/v0/b/nemmadi-console.appspot.com/o/1536924869915%2Fbig?alt=media&token=75a555ac-6fa4-4add-8fb8-df3147495a86,,Broken Floor tiles to be fixed.,0.145024991,0.734915614,0.130917533,0.849745829
27,Above Terrace-Civil,Cracks/Damages,Damages/Cracks,Damages/Cracks,snagging,https://firebasestorage.googleapis.com/v0/b/nemmadi-console.appspot.com/o/1536924874281%2Fbig?alt=media&token=ed5d2415-bfda-4437-9280-4e5deef4040a,,Partition wall is damaged.,0.143462491,0.789531302,0.178011785,0.673651648
28,Above Terrace-Civil,Cracks/Damages,Damages/Cracks,Damages/Cracks,snagging,https://firebasestorage.googleapis.com/v0/b/nemmadi-console.appspot.com/o/1537273231365%2Fbig?alt=media&token=4aa9b4d4-bf52-4325-a6ef-3643791b56c7,,"Headroom for MS staircase has cracks on wall
and bird mesh to be fully closed.",0.206810331,0.717855215,0.313968846,0.408388107
29,Above Terrace-Civil,Cracks/Damages,Damages/Cracks,Damages/Cracks,snagging,https://firebasestorage.googleapis.com/v0/b/nemmadi-console.appspot.com/o/1537273243949%2Fbig?alt=media&token=4dec72b8-8abf-4513-a7e2-f7eb60c5d329,,"Cracks on walls at area beside passenger lift
outer wall.
",0.206810331,0.657116461,0.278486783,0.663243528
30,Above Terrace-Civil,Cracks/Damages,Damages/Cracks,Damages/Cracks,snagging,https://firebasestorage.googleapis.com/v0/b/nemmadi-console.appspot.com/o/1537273247161%2Fbig?alt=media&token=412230af-bbc4-4a5f-84c9-484f454d8faa,,"Beam at passenger lift machine room has
cracks above door.",0.171459103,0.650878048,0.212981177,0.603196816
31,Above Terrace-Civil,Cracks/Damages,Damages/Cracks,Damages/Cracks,snagging,https://firebasestorage.googleapis.com/v0/b/nemmadi-console.appspot.com/o/1537273236688%2Fbig?alt=media&token=a527204b-4b59-4255-a7dc-558f699d3dcf,,"Cracks on Walls.
",0.483381462,0.516618538,0.264839798,0.683684928
32,Above Terrace-Civil,Cracks/Damages,Damages/Cracks,Damages/Cracks,snagging,https://firebasestorage.googleapis.com/v0/b/nemmadi-console.appspot.com/o/1537273240318%2Fbig?alt=media&token=f154ff55-cf2b-41c4-9218-8515a33ae267,,"Beam cracks at Passenger lift machine room open terrace.
beam cracks.",0.285830665,0.667513871,0.297592413,0.515856133
