FILE,UNIT_NAME,ROOM_NAME,NAME,SECTION_NAME,PHASE,PHOTO_URL,STATUS,DESCRIPTION,HIGHLIGHT_LEFT,HIGHLIGHT_WIDTH,HIGHLIGHT_TOP,HIGHLIGHT_HEIGHT
9202,A-525,Bed Room 01 Toilet,Any cracks near switch plate properly filled?,Electrical Fixtures,snagging,https://firebasestorage.googleapis.com/v0/b/nemmadi-console.appspot.com/o/1499071083878%2Fbig?alt=media&token=61126bae-f302-48f5-a4b2-42129639f4cf,not OK,Switch plate not fixed properly,0.433835426,0.254304305,0.360946277,0.23947938
9239,A-525,Kitchen,Any cracks near switch plate properly filled?,Electrical Fixtures,snagging,https://firebasestorage.googleapis.com/v0/b/nemmadi-console.appspot.com/o/1499061929762%2Fbig?alt=media&token=ec9219e8-57f1-435a-b52c-a584b423fab5,not OK,Incomplete electrical work,0.286782614,0.600099339,0.15275208,0.539867811
9245,A-525,Safety,Any cracks near switch plate properly filled?,Electrical Fixtures,snagging,https://firebasestorage.googleapis.com/v0/b/nemmadi-console.appspot.com/o/1499071170228%2Fbig?alt=media&token=58025817-a649-4095-bcb9-7ae09e68ef13,not OK,Improper filling of crack,0.473117994,0.382559071,0.228818153,0.52025207
10299,8073,Kitchen,Any cracks near switch plate properly filled?,Electrical Fixtures,snagging,https://firebasestorage.googleapis.com/v0/b/nemmadi-console.appspot.com/o/1499506961354%2Fbig?alt=media&token=aac850e2-57df-4c53-9c7d-615d9a0f9475,not OK,Crack around switch plate,0.195295038,0.68228256,0.19610747,0.595611572
10403,3095,Living/Dining,Any cracks near switch plate properly filled?,Electrical Fixtures,snagging,https://firebasestorage.googleapis.com/v0/b/nemmadi-console.appspot.com/o/1501069413864%2Fbig?alt=media&token=5d36831a-3872-4d51-8565-a5bd7fe01d04,not OK,Crack around switch plate,0.533074515,0.171605649,0.146235568,0.602834654
10475,3095,Bed Room 01,Any cracks near switch plate properly filled?,Electrical Fixtures,snagging,https://firebasestorage.googleapis.com/v0/b/nemmadi-console.appspot.com/o/1501070117518%2Fbig?alt=media&token=e49f6a22-c694-4e88-b420-afc6fcf05fac,not OK,Crack around switch plate,0.497928548,0.223291954,0.250838855,0.605586785
10808,Villa-43,FF-Master Bed Room Toilet,Any cracks near switch plate properly filled?,Electrical Fixtures,snagging,https://firebasestorage.googleapis.com/v0/b/nemmadi-console.appspot.com/o/1500455068853%2Fbig?alt=media&token=e028c76b-5d39-40e9-b992-9f62dc683635,not OK,Crack not filled,0.39958698,0.34782604,0.01377276,0.79338843
10890,Villa-43,Corridor,Any cracks near switch plate properly filled?,Electrical Fixtures,snagging,https://firebasestorage.googleapis.com/v0/b/nemmadi-console.appspot.com/o/1500448649532%2Fbig?alt=media&token=7e955947-cbcd-4183-9079-8b9fee2169dc,not OK,Crack observed and gap observed ,0.580745342,0.168736049,0.289256198,0.207987636
10934,Villa-31,Foyer,Any cracks near switch plate properly filled?,Electrical Fixtures,snagging,https://firebasestorage.googleapis.com/v0/b/nemmadi-console.appspot.com/o/1502108451669%2Fbig?alt=media&token=1fe6cc64-b83c-4b1c-97cb-9a147cf0d6a9,not OK,Finishing on civil touch up improper ,0.327121119,0.207040372,0.046830548,0.242425651
13325,15046,Bed Room 02,Any cracks near switch plate properly filled?,Electrical Fixtures,snagging,https://firebasestorage.googleapis.com/v0/b/nemmadi-console.appspot.com/o/1502009426111%2Fbig?alt=media&token=49ba62da-b1b1-495c-a87f-27b2921fd2c0,not OK,Crack around switch plate,0.082099381,0.812534131,0.154818196,0.586318087
13596,Villa 17,GF-Living,Any cracks near switch plate properly filled?,Electrical General,snagging,https://firebasestorage.googleapis.com/v0/b/nemmadi-console.appspot.com/o/1502500791804%2Fbig?alt=media&token=494fbae0-0f84-4c28-acfb-d7ba8892d393,not OK,Crack around switch plate,0.320121102,0.46519257,0.322409133,0.385371815
13737,Villa 17,FF-Bed Room 02,Any cracks near switch plate properly filled?,Electrical General,snagging,https://firebasestorage.googleapis.com/v0/b/nemmadi-console.appspot.com/o/1502501211855%2Fbig?alt=media&token=6aee256b-70ba-46d4-801f-c4e9b244617e,not OK,Crack around switch plate,0.293242224,0.432114927,0.289375999,0.553285205
13792,Villa 17,Staircase 1 - FF to SF,Any cracks near switch plate properly filled?,Electrical General,snagging,https://firebasestorage.googleapis.com/v0/b/nemmadi-console.appspot.com/o/1502501109063%2Fbig?alt=media&token=ff0bce2c-ccfe-4444-90a9-723275218ff1,not OK,Crack near switch plate,0.568223562,0.355614988,0.248086724,0.410144648
14506,C-402,Kitchen,Any cracks near switch plate properly filled?,Electrical General,snagging,https://firebasestorage.googleapis.com/v0/b/nemmadi-console.appspot.com/o/1504690914832%2Fbig?alt=media&token=65b22060-9bcc-4fda-8e05-ed7b6a06af04,not OK,Switch plate not fixed,0.4984375,0.247168732,0.293825022,0.493491618
15185,J-704,Living,Any cracks near switch plate properly filled?,Electrical General,snagging,https://firebasestorage.googleapis.com/v0/b/nemmadi-console.appspot.com/o/1506188970491%2Fbig?alt=media&token=d790a13c-b949-4f70-87e4-20549f49582f,not OK,Gap between DB box and wall,0.531782589,0.332614922,0.225012409,0.638962801
15310,J-1404,Living,Any cracks near switch plate properly filled?,Electrical General,snagging,https://firebasestorage.googleapis.com/v0/b/nemmadi-console.appspot.com/o/1506188924277%2Fbig?alt=media&token=82be1b7f-71b4-45df-b14b-ea057b49cb76,not OK,Gap around DB frame and wall,0.520928567,0.11940064,0.14656193,0.593541295
15695,G - 702,Living,Any cracks near switch plate properly filled?,Electrical General,snagging,https://firebasestorage.googleapis.com/v0/b/nemmadi-console.appspot.com/o/1506441160230%2Fbig?alt=media&token=dcd6b2f0-60fa-411d-ae43-8bd569c61d42,not OK,Wall damage below switch plate ,0.49689441,0.31620182,0.301652893,0.456541329
16203,D-707,Living,Any cracks near switch plate properly filled?,Electrical General,snagging,https://firebasestorage.googleapis.com/v0/b/nemmadi-console.appspot.com/o/1507359215428%2Fbig?alt=media&token=3a4bccab-d519-4a57-b8cf-eb1101fdc5fd,not OK,Crack around switch plate,0.511968756,0.269021845,0.307737478,0.419920858
16264,D-707,Common Toilet,Any cracks near switch plate properly filled?,Electrical General,snagging,https://firebasestorage.googleapis.com/v0/b/nemmadi-console.appspot.com/o/1507354892951%2Fbig?alt=media&token=c29dac90-ebc6-4383-bf3b-0f93a623be74,not OK,Crack around switch plate (entrance to toilet),0.415181255,0.33979063,0.254987526,0.464341672
16284,D-707,Master Bed Room 01,Any cracks near switch plate properly filled?,Electrical General,snagging,https://firebasestorage.googleapis.com/v0/b/nemmadi-console.appspot.com/o/1507360482992%2Fbig?alt=media&token=8d515ba7-274e-48b8-a081-6f3067b38e6e,not OK,Crack around switch plate,0.48282814,0.203978109,0.286912473,0.561516635
16320,D-707,Bed Room 02,Any cracks near switch plate properly filled?,Electrical General,snagging,https://firebasestorage.googleapis.com/v0/b/nemmadi-console.appspot.com/o/1507359327050%2Fbig?alt=media&token=c93e48f3-8237-4c32-bbc7-4641217d41f4,not OK,Crack around switch plate,0.631650019,0.188365602,0.178637505,0.566370837
16365,D-707,Bed Room 03,Any cracks near switch plate properly filled?,Electrical General,snagging,https://firebasestorage.googleapis.com/v0/b/nemmadi-console.appspot.com/o/1507361253457%2Fbig?alt=media&token=129b763b-0bba-4813-aa95-e7e5bd97da83,not OK,Crack around switch plate,0.55775938,0.199815655,0.232774989,0.481695811
16380,D-707,Kitchen,Any cracks near switch plate properly filled?,Electrical General,snagging,https://firebasestorage.googleapis.com/v0/b/nemmadi-console.appspot.com/o/1507356060965%2Fbig?alt=media&token=a1d1a973-9e3b-4791-b26f-da7c0e4f2b50,not OK,Crack around switch plate,0.522375011,0.209181261,0.167533302,0.601770846
16442,A-201,Dining,Any cracks near switch plate properly filled?,Electrical General,snagging,https://firebasestorage.googleapis.com/v0/b/nemmadi-console.appspot.com/o/1507395443980%2Fbig?alt=media&token=665e050f-f7ec-428c-aa3c-9caf74833adc,not OK,Crack around switch plate,0.034240627,0.939321899,0.405508423,0.28935407
17359,16133,Living,Any cracks near switch plate properly filled?,Electrical General,snagging,https://firebasestorage.googleapis.com/v0/b/nemmadi-console.appspot.com/o/1507115498323%2Fbig?alt=media&token=c1dc7878-c1e4-45f4-b2c7-84df09c36077,not OK,Crack around switch plate,0.36626873,0.221150017,0.168920835,0.549712435
18064,D - 101,Kitchen,Any cracks near switch plate properly filled?,Electrical General,snagging,https://firebasestorage.googleapis.com/v0/b/nemmadi-console.appspot.com/o/1509198268936%2Fbig?alt=media&token=b062cb74-ccb2-4a36-ba39-b5c41f287fff,not OK,Crack around switch plate,0.530165625,0.212206221,0.174235408,0.441324997
18133,D - 101,Master Bedroom Walk-In,Any cracks near switch plate properly filled?,Electrical General,snagging,https://firebasestorage.googleapis.com/v0/b/nemmadi-console.appspot.com/o/1509198429119%2Fbig?alt=media&token=c83bec8e-5dd5-4db5-9553-0e7babed7bfd,not OK,Crack around switch plate,0.534328127,0.203881216,0.102072906,0.488504155
18909,A - 701,Bed Room 01 Toilet,Any cracks near switch plate properly filled?,Electrical General,snagging,https://firebasestorage.googleapis.com/v0/b/nemmadi-console.appspot.com/o/1509282641143%2Fbig?alt=media&token=59707bac-8a37-44fa-9d91-908885baf4a9,not OK,Switch plate not filled properly ,0.45,0.199478102,0.2625,0.602083333
19653,V -180,FF-Bedroom 2 Dresser,Any cracks near switch plate properly filled?,Electrical General,snagging,https://firebasestorage.googleapis.com/v0/b/nemmadi-console.appspot.com/o/1510327152210%2Fbig?alt=media&token=35be2c94-dfa8-419a-a2bc-c4389971d68c,not OK,Gap between switch plate and wall,0.605631256,0.106871891,0.188354174,0.444104195
19941,4:00 AM,Master Bedroom,Any cracks near switch plate properly filled?,Electrical General,snagging,https://firebasestorage.googleapis.com/v0/b/nemmadi-console.appspot.com/o/1511233441562%2Fbig?alt=media&token=2b9c45f4-553b-4c3f-80a0-eb1f4c59eb4a,not OK,Gap around switch plate,0.548890638,0.432731199,0.207543755,0.502387555
20040,F - 501,Foyer,Any cracks near switch plate properly filled?,Electrical General,snagging,https://firebasestorage.googleapis.com/v0/b/nemmadi-console.appspot.com/o/1511765720172%2Fbig?alt=media&token=4c7557da-ef03-4cfe-892c-e047d30b0d89,not OK,Improper filling around Electrical plate ,0.38125,0.282790613,0.379166667,0.172887548
20253,D-801,Master Bed Room,Any cracks near switch plate properly filled?,Electrical General,snagging,https://firebasestorage.googleapis.com/v0/b/nemmadi-console.appspot.com/o/1511713410751%2Fbig?alt=media&token=33964ce0-eafc-42bd-8619-3dcb32358727,not OK,Crack around switch plate,0.252687502,0.558599997,0.220412509,0.576629066
20522,A - 201,Utility,Any cracks near switch plate properly filled?,Electrical General,snagging,https://firebasestorage.googleapis.com/v0/b/nemmadi-console.appspot.com/o/1513225350093%2Fbig?alt=media&token=ab36203e-c006-404a-a4b9-1e08c3b5499d,not OK,Paint stains on switch plate,0.369790602,0.385937548,0.200305239,0.390275002
20763,V - 24,FF- Master Bedroom Balcony,Any cracks near switch plate properly filled?,Electrical General,snagging,https://firebasestorage.googleapis.com/v0/b/nemmadi-console.appspot.com/o/1513577670725%2Fbig?alt=media&token=59241bfe-5740-49c6-bcd4-5dedcc945ccf,not OK,Improper filling around plate,0.384534359,0.279228115,0.390735372,0.40305837
21676,E - 301,Foyer,Any cracks near switch plate properly filled?,Electrical General,snagging,https://firebasestorage.googleapis.com/v0/b/nemmadi-console.appspot.com/o/1515262611873%2Fbig?alt=media&token=3e74723c-905a-4dd8-bda6-440a12dc7e80,not OK,Gap around Communication box and wall ,0.48673749,0.227028131,0.024312528,0.703616651
21708,E - 301,Kitchen,Any cracks near switch plate properly filled?,Electrical General,snagging,https://firebasestorage.googleapis.com/v0/b/nemmadi-console.appspot.com/o/1515408786496%2Fbig?alt=media&token=bbd31bab-a1e8-4645-a25c-1c0d6ef5ec57,not OK,Crack around switch plate,0.34916873,0.453534365,0.168685404,0.57871666
21730,E - 301,Utility,Any cracks near switch plate properly filled?,Electrical General,snagging,https://firebasestorage.googleapis.com/v0/b/nemmadi-console.appspot.com/o/1515496306588%2Fbig?alt=media&token=77a48b60-5e7b-4056-ae37-f08e7a1c5f25,not OK,Improper filling around all switch plates,0.16400938,0.69770937,0.274160385,0.43072497
21842,COS-G-X-0829 ,Living,Any cracks near switch plate properly filled?,Electrical General,desnagging,https://firebasestorage.googleapis.com/v0/b/nemmadi-console.appspot.com/o/1522393881694%2Fbig?alt=media&token=181c30b2-d1b5-4fa0-83ed-e7ae5ed22f85,not OK, Rectified,0.439584398,0.211978102,0.182461098,0.530057313
21843,COS-G-X-0829 ,Living,Any cracks near switch plate properly filled?,Electrical General,snagging,https://firebasestorage.googleapis.com/v0/b/nemmadi-console.appspot.com/o/1515430154636%2Fbig?alt=media&token=6b9918fc-0555-4276-8b35-64b2163e8cc3,not OK,Crack around switch plate,0.101334369,0.668603146,0.172116661,0.563099988
21976,COS-G-X-0829 ,Dining,Any cracks near switch plate properly filled?,Electrical General,desnagging,https://firebasestorage.googleapis.com/v0/b/nemmadi-console.appspot.com/o/1522402269434%2Fbig?alt=media&token=c48f6c2f-5323-4654-b249-ce1dd3b3b3f2,not OK,Rectified,0.16875,0.804606247,0.279456967,0.129782755
21977,COS-G-X-0829 ,Dining,Any cracks near switch plate properly filled?,Electrical General,snagging,https://firebasestorage.googleapis.com/v0/b/nemmadi-console.appspot.com/o/1515430165763%2Fbig?alt=media&token=bb256f14-2d49-4bec-ab2f-e7ee973bc8aa,not OK,Crack around switch plate,0.143462491,0.808253169,0.315754191,0.337233353
22206,E - 703,Foyer,Any cracks near switch plate properly filled?,Electrical General,snagging,https://firebasestorage.googleapis.com/v0/b/nemmadi-console.appspot.com/o/1515595162221%2Fbig?alt=media&token=97c2fa4d-6e8e-4d42-af5e-c570f29f7bee,not OK,Improper finish around calling bell,0.374393749,0.475899982,0.224633344,0.519383303
22215,E - 703,Living,Any cracks near switch plate properly filled?,Electrical General,snagging,https://firebasestorage.googleapis.com/v0/b/nemmadi-console.appspot.com/o/1515595147131%2Fbig?alt=media&token=1b07c2ab-9239-4cdb-8a56-0255c16df1c4,not OK,Improper finish between switch plates,0.380634356,0.344896889,0.082600021,0.686966705
22266,E - 703,Master Bedroom,Any cracks near switch plate properly filled?,Electrical General,snagging,https://firebasestorage.googleapis.com/v0/b/nemmadi-console.appspot.com/o/1515595165598%2Fbig?alt=media&token=81c884d9-d262-4e12-b3a0-e277bd0f5a19,not OK,Improper finish around switch plate and switch plate not aligned properly,0.193393755,0.717753077,0.238729159,0.48920002
22461,9092,Bedroom 1,Any cracks near switch plate properly filled?,Electrical General,snagging,https://firebasestorage.googleapis.com/v0/b/nemmadi-console.appspot.com/o/1516848665205%2Fbig?alt=media&token=f48ce5aa-61bb-4871-ad6a-7ba56797abfd,not OK,Crack around switch plate and improper finish,0.163746881,0.796550035,0.203341675,0.561020788
22481,9092,Master Bedroom,Any cracks near switch plate properly filled?,Electrical General,snagging,https://firebasestorage.googleapis.com/v0/b/nemmadi-console.appspot.com/o/1516848665514%2Fbig?alt=media&token=a736f363-1576-4a60-a049-9a8319d82a9a,not OK,Improper finish around switch plate,0.101334369,0.88470937,0.228320821,0.472545878
